"src","dest","reason","size","lastWrite"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\kb_test_1.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\kb_test_1.txt","KB -> Templates","33","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\kb_test_2.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\kb_test_2.txt","KB -> Templates","33","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_Complete_Personal_Identity.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_Complete_Personal_Identity.md","KB -> Templates","15985","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_KB_00_Master_Index.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_KB_00_Master_Index.md","KB -> Templates","10142","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_KB_01_Communication_Style.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_KB_01_Communication_Style.md","KB -> Templates","9439","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_KB_02_Formatting_Rules.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_KB_02_Formatting_Rules.md","KB -> Templates","11395","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_KB_03_Tool_Protocols.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_KB_03_Tool_Protocols.md","KB -> Templates","13843","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_KB_04_User_Preferences.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_KB_04_User_Preferences.md","KB -> Templates","12401","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\Navi_KB_05_Templates_and_Routing.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\Navi_KB_05_Templates_and_Routing.md","KB -> Templates","13711","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\README_Installation_Guide.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\README_Installation_Guide.md","KB -> Templates","10582","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\urgent_ceo_meeting.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\urgent_ceo_meeting.txt","KB -> Templates","200","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_seed_01\We are in  Production.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\kb_seed_01\We are in  Production.txt","KB -> Templates","49","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_Complete_Personal_Identity.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\mock_test_batch_01_final_2\Navi_Complete_Personal_Identity.md","Other -> HOLDING_REVIEW (manual)","15985","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_KB_00_Master_Index.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final_2\Navi_KB_00_Master_Index.md","KB -> Templates","10142","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_KB_01_Communication_Style.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final_2\Navi_KB_01_Communication_Style.md","KB -> Templates","9439","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_KB_02_Formatting_Rules.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final_2\Navi_KB_02_Formatting_Rules.md","KB -> Templates","11395","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_KB_03_Tool_Protocols.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final_2\Navi_KB_03_Tool_Protocols.md","KB -> Templates","13843","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_KB_04_User_Preferences.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final_2\Navi_KB_04_User_Preferences.md","KB -> Templates","12401","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\Navi_KB_05_Templates_and_Routing.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final_2\Navi_KB_05_Templates_and_Routing.md","KB -> Templates","13711","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\README_Installation_Guide.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\mock_test_batch_01_final_2\README_Installation_Guide.md","Other -> HOLDING_REVIEW (manual)","10582","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\urgent_ceo_meeting.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\urgent_ceo_meeting.txt","Urgent/Bill -> mail_room/review_required","200","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final_2\We are in  Production.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\mock_test_batch_01_final_2\We are in  Production.txt","Other -> HOLDING_REVIEW (manual)","49","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final\Navi_Complete_Personal_Identity.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\mock_test_batch_01_final\Navi_Complete_Personal_Identity.md","Other -> HOLDING_REVIEW (manual)","15985","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final\Navi_KB_00_Master_Index.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final\Navi_KB_00_Master_Index.md","KB -> Templates","10142","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final\Navi_KB_01_Communication_Style.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final\Navi_KB_01_Communication_Style.md","KB -> Templates","9439","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final\Navi_KB_02_Formatting_Rules.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final\Navi_KB_02_Formatting_Rules.md","KB -> Templates","11395","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final\Navi_KB_03_Tool_Protocols.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final\Navi_KB_03_Tool_Protocols.md","KB -> Templates","13843","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final\Navi_KB_04_User_Preferences.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final\Navi_KB_04_User_Preferences.md","KB -> Templates","12401","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final\Navi_KB_05_Templates_and_Routing.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_final\Navi_KB_05_Templates_and_Routing.md","KB -> Templates","13711","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final\README_Installation_Guide.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\mock_test_batch_01_final\README_Installation_Guide.md","Other -> HOLDING_REVIEW (manual)","10582","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final\urgent_ceo_meeting.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\urgent_ceo_meeting.txt","Urgent/Bill -> mail_room/review_required","200","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_final\We are in  Production.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\mock_test_batch_01_final\We are in  Production.txt","Other -> HOLDING_REVIEW (manual)","49","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun\Navi_Complete_Personal_Identity.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\mock_test_batch_01_rerun\Navi_Complete_Personal_Identity.md","Other -> HOLDING_REVIEW (manual)","15985","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun\Navi_KB_00_Master_Index.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_rerun\Navi_KB_00_Master_Index.md","KB -> Templates","10142","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun\Navi_KB_01_Communication_Style.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_rerun\Navi_KB_01_Communication_Style.md","KB -> Templates","9439","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun\Navi_KB_02_Formatting_Rules.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_rerun\Navi_KB_02_Formatting_Rules.md","KB -> Templates","11395","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun\Navi_KB_03_Tool_Protocols.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_rerun\Navi_KB_03_Tool_Protocols.md","KB -> Templates","13843","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun\Navi_KB_04_User_Preferences.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_rerun\Navi_KB_04_User_Preferences.md","KB -> Templates","12401","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun\Navi_KB_05_Templates_and_Routing.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\mock_test_batch_01_rerun\Navi_KB_05_Templates_and_Routing.md","KB -> Templates","13711","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun\README_Installation_Guide.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\mock_test_batch_01_rerun\README_Installation_Guide.md","Other -> HOLDING_REVIEW (manual)","10582","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun\urgent_ceo_meeting.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\urgent_ceo_meeting.txt","Urgent/Bill -> mail_room/review_required","200","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun\We are in  Production.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\mock_test_batch_01_rerun\We are in  Production.txt","Other -> HOLDING_REVIEW (manual)","49","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_20251221_171548\Navi_Complete_Personal_Identity.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\pre_ingest_20251221_171548\Navi_Complete_Personal_Identity.md","Other -> HOLDING_REVIEW (manual)","15985","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_20251221_171548\Navi_KB_00_Master_Index.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_20251221_171548\Navi_KB_00_Master_Index.md","KB -> Templates","10142","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_20251221_171548\Navi_KB_01_Communication_Style.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_20251221_171548\Navi_KB_01_Communication_Style.md","KB -> Templates","9439","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_20251221_171548\Navi_KB_02_Formatting_Rules.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_20251221_171548\Navi_KB_02_Formatting_Rules.md","KB -> Templates","11395","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_20251221_171548\Navi_KB_03_Tool_Protocols.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_20251221_171548\Navi_KB_03_Tool_Protocols.md","KB -> Templates","13843","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_20251221_171548\Navi_KB_04_User_Preferences.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_20251221_171548\Navi_KB_04_User_Preferences.md","KB -> Templates","12401","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_20251221_171548\Navi_KB_05_Templates_and_Routing.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_20251221_171548\Navi_KB_05_Templates_and_Routing.md","KB -> Templates","13711","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_20251221_171548\README_Installation_Guide.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\pre_ingest_20251221_171548\README_Installation_Guide.md","Other -> HOLDING_REVIEW (manual)","10582","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_20251221_171548\urgent_ceo_meeting.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\urgent_ceo_meeting.txt","Urgent/Bill -> mail_room/review_required","200","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_20251221_171548\We are in  Production.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\pre_ingest_20251221_171548\We are in  Production.txt","Other -> HOLDING_REVIEW (manual)","49","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_192036\kb_test_1.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_192036\kb_test_1.txt","KB -> Templates","33","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_192036\kb_test_2.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_192036\kb_test_2.txt","KB -> Templates","33","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_192036\Navi_Complete_Personal_Identity.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\pre_ingest_backup_20251221_192036\Navi_Complete_Personal_Identity.md","Other -> HOLDING_REVIEW (manual)","15449","12/21/2025 3:42:26 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_192036\Navi_KB_00_Master_Index.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_192036\Navi_KB_00_Master_Index.md","KB -> Templates","9794","12/21/2025 3:42:26 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_192036\Navi_KB_01_Communication_Style.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_192036\Navi_KB_01_Communication_Style.md","KB -> Templates","9092","12/21/2025 3:42:26 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_192036\Navi_KB_02_Formatting_Rules.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_192036\Navi_KB_02_Formatting_Rules.md","KB -> Templates","10956","12/21/2025 3:42:26 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_192036\Navi_KB_03_Tool_Protocols.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_192036\Navi_KB_03_Tool_Protocols.md","KB -> Templates","13349","12/21/2025 3:42:26 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_192036\Navi_KB_04_User_Preferences.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_192036\Navi_KB_04_User_Preferences.md","KB -> Templates","11995","12/21/2025 3:42:26 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_192036\Navi_KB_05_Templates_and_Routing.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_192036\Navi_KB_05_Templates_and_Routing.md","KB -> Templates","13199","12/21/2025 3:42:27 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_192036\README_Installation_Guide.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\pre_ingest_backup_20251221_192036\README_Installation_Guide.md","Other -> HOLDING_REVIEW (manual)","10146","12/21/2025 3:42:27 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_192036\urgent_ceo_meeting.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\urgent_ceo_meeting.txt","Urgent/Bill -> mail_room/review_required","200","12/13/2025 5:30:38 AM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_192036\We are in  Production.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\pre_ingest_backup_20251221_192036\We are in  Production.txt","Other -> HOLDING_REVIEW (manual)","49","12/14/2025 7:17:12 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_202616\kb_test_1.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_202616\kb_test_1.txt","KB -> Templates","33","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_202616\kb_test_2.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_202616\kb_test_2.txt","KB -> Templates","33","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_202616\Navi_Complete_Personal_Identity.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\pre_ingest_backup_20251221_202616\Navi_Complete_Personal_Identity.md","Other -> HOLDING_REVIEW (manual)","15985","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_202616\Navi_KB_00_Master_Index.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_202616\Navi_KB_00_Master_Index.md","KB -> Templates","10142","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_202616\Navi_KB_01_Communication_Style.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_202616\Navi_KB_01_Communication_Style.md","KB -> Templates","9439","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_202616\Navi_KB_02_Formatting_Rules.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_202616\Navi_KB_02_Formatting_Rules.md","KB -> Templates","11395","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_202616\Navi_KB_03_Tool_Protocols.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_202616\Navi_KB_03_Tool_Protocols.md","KB -> Templates","13843","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_202616\Navi_KB_04_User_Preferences.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_202616\Navi_KB_04_User_Preferences.md","KB -> Templates","12401","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_202616\Navi_KB_05_Templates_and_Routing.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\sorted\VB\Tech\Templates\pre_ingest_backup_20251221_202616\Navi_KB_05_Templates_and_Routing.md","KB -> Templates","13711","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_202616\README_Installation_Guide.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\pre_ingest_backup_20251221_202616\README_Installation_Guide.md","Other -> HOLDING_REVIEW (manual)","10582","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_202616\urgent_ceo_meeting.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\urgent_ceo_meeting.txt","Urgent/Bill -> mail_room/review_required","200","12/21/2025 6:15:55 PM"
"D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_20251221_202616\We are in  Production.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING_REVIEW\pre_ingest_backup_20251221_202616\We are in  Production.txt","Other -> HOLDING_REVIEW (manual)","49","12/21/2025 6:15:55 PM"
