"filename","size","lastWrite","source","destDir","planned_dest","note"
"Progresive Ins.pdf","372512","11/16/2025 1:09:31 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Progresive Ins.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Progresive Ins.pdf","archive"
"Xfinity Recipt.pdf","21389","11/16/2025 1:10:14 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Xfinity Recipt.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Xfinity Recipt.pdf","archive"
"Document_09252025_0001.pdf","11631","11/16/2025 1:11:00 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Document_09252025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Document_09252025_0001.pdf","archive"
"Document_11012025_0001.pdf","15229","11/16/2025 1:20:56 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Document_11012025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Document_11012025_0001.pdf","archive"
"Document_02122023_0001.pdf","28603","11/16/2025 1:22:23 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Document_02122023_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Document_02122023_0001.pdf","archive"
"Document_01312024_0001.pdf","50929","11/16/2025 1:24:04 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Document_01312024_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Document_01312024_0001.pdf","archive"
"urgent_ceo_meeting.txt","200","12/13/2025 5:30:38 AM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\urgent_ceo_meeting.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\urgent_ceo_meeting.txt","archive"
"We are in  Production.txt","49","12/14/2025 7:17:12 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\We are in  Production.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\We are in  Production.txt","archive"
"Navi_KB_05_Templates_and_Routing.md","13199","12/21/2025 3:42:27 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Navi_KB_05_Templates_and_Routing.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\Navi_KB_05_Templates_and_Routing.md","archive"
"README_Installation_Guide.md","10146","12/21/2025 3:42:27 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\README_Installation_Guide.md","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\review_bucket\README_Installation_Guide.md","archive"
"debug.log","388","12/21/2025 6:13:53 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\DONE\debug.log","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\DONE","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\DONE\debug.log","archive"
"kb_test_2.txt","33","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_test_2.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING\kb_test_2.txt","archive"
"kb_test_1.txt","33","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\kb_test_1.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING\kb_test_1.txt","archive"
"mock_test_batch_01_rerun_3","49","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun_3","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING\mock_test_batch_01_rerun_3","archive"
"mock_test_batch_01_rerun_2","49","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun_2","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING\mock_test_batch_01_rerun_2","archive"
"mock_test_batch_01_rerun_4","49","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\mock_test_batch_01_rerun_4","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING\mock_test_batch_01_rerun_4","archive"
"pre_ingest_backup_$(Get-Date -Format yyyyMMdd_HHmmss)","49","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\pre_ingest_backup_$(Get-Date -Format yyyyMMdd_HHmmss)","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING\pre_ingest_backup_$(Get-Date -Format yyyyMMdd_HHmmss)","archive"
"approve_test.txt","21","12/21/2025 6:56:42 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_test.txt","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\HOLDING\approve_test.txt","archive"
"OfficeBox_001_files_index.json","924","12/22/2025 7:18:12 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_office_boxes\OfficeBox_001_files_index.json","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\_office_boxes","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\_office_boxes\OfficeBox_001_files_index.json","archive_officebox"
"OfficeBox_001_meta.json","474","12/22/2025 7:19:54 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_office_boxes\OfficeBox_001_meta.json","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\_office_boxes","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\_archive\2025-12-22_legacy_cleanup\_office_boxes\OfficeBox_001_meta.json","archive_officebox"
"Bill_10062025_0001.pdf","336965","11/16/2025 1:11:39 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_10062025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_10062025_0001.pdf","mailroom_review"
"Bill_09172025_0001.pdf","186956","11/16/2025 1:12:02 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_09172025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_09172025_0001.pdf","mailroom_review"
"Bill_11162025_0001.pdf","103146","11/16/2025 1:12:39 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_11162025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_11162025_0001.pdf","mailroom_review"
"Bill_09052025_0001.pdf","186228","11/16/2025 1:16:31 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_09052025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_09052025_0001.pdf","mailroom_review"
"Bill_10282025_0001.pdf","382673","11/16/2025 1:17:43 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_10282025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_10282025_0001.pdf","mailroom_review"
"Receipt_04012025_0001.pdf","325316","11/16/2025 1:20:29 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Receipt_04012025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Receipt_04012025_0001.pdf","mailroom_review"
"Bill_10162025_0001.pdf","217167","11/16/2025 1:21:36 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\review_bucket\Bill_10162025_0001.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\Bill_10162025_0001.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766365444388.pdf","24","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766365444388.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766365444388.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766365475812.pdf","24","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766365475812.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766365475812.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766365494210.pdf","24","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766365494210.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766365494210.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766365504738.pdf","24","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766365504738.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766365504738.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766365511135.pdf","24","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766365511135.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766365511135.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766365519369.pdf","24","12/21/2025 6:15:55 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766365519369.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766365519369.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766368270874.pdf","24","12/21/2025 6:51:10 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766368270874.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766368270874.pdf","mailroom_review"
"approve_ui_company_personal_invoice_1766368600469.pdf","24","12/21/2025 6:56:40 PM","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\HOLDING\approve_ui_company_personal_invoice_1766368600469.pdf","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required","D:\05_AGENTS-AI\01_RUNTIME\VBoarder\NAVI\mail_room\review_required\approve_ui_company_personal_invoice_1766368600469.pdf","mailroom_review"
